,City,Price range,Average price
1481,Rajahmundry,"3,367 - 4,455 / sqft","4,454.55 / sqft"
1482,Bhagalpur,-,-
1483,Raipur,"1,750 - 5,625 / sqft","4,395.73 / sqft"
1484,Gandhinagar,"2,151 - 4,087 / sqft","3,118.69 / sqft"
1485,Jamnagar,"10,526 / sqft","10,526.32 / sqft"
1486,Porbandar,-,-
1487,Rajkot,"1,833 - 7,692 / sqft","6,182.05 / sqft"
1488,Kurukshetra,-,-
1489,Panchkula,"2,142 - 76,316 / sqft","41,555.55 / sqft"
1490,Dharamsala,-,-
1491,Manali,-,-
1492,Jammu,"8,636 / sqft","8,636.36 / sqft"
1493,Srinagar,-,-
1494,Bokaro,-,-
1495,Dhanbad,"1,857 - 2,394 / sqft","2,125.5 / sqft"
1496,Bellary,-,-
1497,Bidar,-,-
1498,Dharwad,-,-
1499,Hubli,-,-
1500,Alappuzha,-,-
1501,Kollam,-,-
1502,Palakkad,"2,367 - 3,333 / sqft","3,333.33 / sqft"
1503,Ujjain,"2,170 / sqft","2,170.21 / sqft"
1504,Imphal,-,-
1505,Shillong,-,-
1506,Cuttack,"5,085 / sqft","5,84.75 / sqft"
1507,Rourkela,-,-
1508,Mohali,"1,067 - 46,844 / sqft","26,845.69 / sqft"
1509,Pathankot,-,-
1510,Ajmer,"999 - 81,703 / sqft","51,144.35 / sqft"
1511,Bhilwara,-,-
1512,Kota,"3,059 - 4,500 / sqft","3,779.41 / sqft"
1513,Udaipur,-,-
1514,Gangtok,-,-
1515,Erode,-,-
1516,Hosur,"3,428 - 4,333 / sqft","3,880.67 / sqft"
1517,Agartala,-,-
1518,Faizabad,"11,290 / sqft","11,290 / sqft"
1519,Gorakhpur,"3,571 / sqft","3,571.43 / sqft"
1520,Roorkee,-,-
1521,Rudrapur,-,-
1522,Dadra and Nagar Haveli,-,-
1523,Daman and Diu,-,-
1524,Latur,-,-
1525,Jalna,-,-
1526,Jalgaon,-,-
1527,Hingoli,-,-
1528,Gadchiroli,-,-
1529,Dhule,-,-
1530,Chandrapur,"2,636 / sqft","2,635.66 / sqft"
1531,Bhandara,-,-
1532,Amravati,-,-
1533,Akola,-,-
1534,Ahmednagar,"3,636 - 3,864 / sqft","3,863.64 / sqft"
1535,Sindhudurg,"4,798 - 5,172 / sqft","4,985.33 / sqft"
1536,Wardha,-,-
1537,Washim,-,-
1538,Yavatmal,-,-
1539,Kodaikanal,-,-
1540,Shirdi,-,-
1541,Zirakpur,"1,342 - 40,909 / sqft","21,125.95 / sqft"
1542,Baddi,-,-
1543,Neemrana,-,-
1544,Rewari,"10,667 - 11,333 / sqft","11,333.33 / sqft"
1545,Palwal,"1,587 - 8,316 / sqft","7,468.86 / sqft"
1546,Karur,-,-
1547,Baramati,-,-
1548,Alibaugh,"8,667 / sqft","8,666.67 / sqft"
1549,Saharanpur,-,-
1550,Hardoi,-,-
1551,Firozabad,-,-
1552,Rampur,-,-
1553,Etawah,-,-
1554,Hapur,-,-
1555,Gonda,-,-
1556,Basti,-,-
1557,Mirzapur,-,-
1558,Azamgarh,-,-
1559,Barabanki,-,-
